company_id,jobview_url,Position(Company),Description
876009386,https://www.linkedin.com/jobs/view/876009386/,Software Application Developer - Java/Python/Ruby (1-6 yrs) Bangalore (Systems/Product Software),"Deep experience in at least one general programming language (Java, Ruby, PHP, Python (Django, Flask) and SQL). Has an expert programming experience in any one programming ..."
868142092,https://www.linkedin.com/jobs/view/868142092/,GDC | Associate 2/ Senior Associate 1| Manual Testing / Automation,Good to have : Scripting and automation experience :Python(preferably) or other programming language for automating test cases. Skillsets in writing Database queries(SQL/MS-SQL/...
692175810,https://www.linkedin.com/jobs/view/692175810/,KGS -MC- Workday,The Data Conversion Consultant must have the complete project lifecycle experience in a data conversion role. Should have experience using Workday iLoad for Data Conversion on ...
828730854,https://www.linkedin.com/jobs/view/828730854/,Lendingkart - Associate - Corporate Communications (3-6 yrs) Bangalore (Marketing & Public Relations),Candidate should have minimum 3 years of relevant experience. Lendingkart is the only Indian Fintech player featuring in the Global Top 50 Established Innovators list published ...
881144587,https://www.linkedin.com/jobs/view/881144587/,IT Project Manager (PMP) ($100k/yr) - Online Hiring Event,The IT Project Manager position is responsible for implementing client facing and internal technical projects. You should have experience in being client facing or a technical ...
834981690,https://www.linkedin.com/jobs/view/834981690/,RPA- Data Scientist / Machine learning,"Looking for Machine Learning/Artificial Intelligence specialists who has overall 5+ years of experience in Machine Learning tools, techniques and solutions. Proficient in ..."
634881215,https://www.linkedin.com/jobs/view/634881215/,KGS-RC-Senior-Python Developer,"Minimum 3 years of experience in Python, with knowledge of at least one Python web framework. Basic understanding of front-end technologies, such as JavaScript, HTML5, and CSS3."
858886094,https://www.linkedin.com/jobs/view/858886094/,Manager/SR Con-MES Consultant,Minimum 10 years of experience in managing Information Technology and other IT related services projects OR managing large scale Mineral Resources and Mining projects. Excellent...
864680660,https://www.linkedin.com/jobs/view/864680660/,K-Tech |Associate Consultant / Consultant | Fullstack|Angular JS/React,"Knowledge / experience in Java / J2EE technologies, n-Tier Architecture, WebServices (REST APIs, SOAP, etc), Spring Frameworks. Strong Development experience in JS frameworks ..."
860236700,https://www.linkedin.com/jobs/view/860236700/,Manager - CF,Roles and ResponsibilitiesQualifications And SkillsExperience and Background
634881156,https://www.linkedin.com/jobs/view/634881156/,KGS-RC-Assistant Manager | Prophet Modeling/ Life,"1-5years of life actuarial experience with knowledge in reporting - reserving, embedded value, business planning, pricing etc. Good communication and strong interpersonal skills..."
819677294,https://www.linkedin.com/jobs/view/819677294/,Manager - Intelligent Automation,"Minimum 5 years&#x2019; experience in programming (Python, ML, NLP, NLG, VB, C#, .NET, C++, etc) is a must. A minimum of four years in a professional senior technical role such as ..."
766614111,https://www.linkedin.com/jobs/view/766614111/,KGS| Risk Consulting- Trainee -Practice Operations,The candidate is expected to be a good team player with strong coordination skills. The candidate is expected to have strong verbal and written communication skills. Preparation...
